DeployID,Ptt,DepthSensor,Source,Instr,Count,Start,End,What,Number,Shape,DepthMin,DepthMax,DurationMin,DurationMax,Shallow,Deep
146298,146298,0.500000,Transmission,Mk10,1,11:57:00 17-Jan-2016,17:31:30 17-Jan-2016,Message,10,,,,20060.000000,20080.000000,,
146298,146298,0.500000,Transmission,Mk10,1,11:57:00 17-Jan-2016,15:16:10 17-Jan-2016,Surface,,,,,11949,11951,11950,0
146298,146298,0.500000,Transmission,Mk10,1,15:16:10 17-Jan-2016,15:23:50 17-Jan-2016,Dive,1,U,6.5,6.5,459,461,,
146298,146298,0.500000,Transmission,Mk10,1,15:23:50 17-Jan-2016,15:24:00 17-Jan-2016,Surface,,,,,9,11,10,0
146298,146298,0.500000,Transmission,Mk10,1,15:24:00 17-Jan-2016,15:46:00 17-Jan-2016,Dive,1,Square,12.0,12.0,1319,1321,,
146298,146298,0.500000,Transmission,Mk10,1,15:46:00 17-Jan-2016,15:46:10 17-Jan-2016,Surface,,,,,9,11,10,0
146298,146298,0.500000,Transmission,Mk10,1,15:46:10 17-Jan-2016,17:03:10 17-Jan-2016,Dive,1,Square,18.0,18.0,4619,4621,,
146298,146298,0.500000,Transmission,Mk10,1,17:03:10 17-Jan-2016,17:03:20 17-Jan-2016,Surface,,,,,9,11,10,0
146298,146298,0.500000,Transmission,Mk10,1,17:03:20 17-Jan-2016,17:16:30 17-Jan-2016,Dive,1,U,17.0,17.0,789,791,,
146298,146298,0.500000,Transmission,Mk10,1,17:16:30 17-Jan-2016,17:16:50 17-Jan-2016,Surface,,,,,19,21,20,0
146298,146298,0.500000,Transmission,Mk10,1,17:16:50 17-Jan-2016,17:31:30 17-Jan-2016,Dive,1,U,16.5,16.5,879,881,,
146298,146298,0.500000,Transmission,Mk10,,17:31:00 17-Jan-2016,19:09:00 17-Jan-2016,Message,10,,,,5870.000000,5890.000000,,
146298,146298,0.500000,Transmission,Mk10,,17:31:00 17-Jan-2016,17:31:40 17-Jan-2016,Surface,,,,,39,41,31,9
146298,146298,0.500000,Transmission,Mk10,,17:31:40 17-Jan-2016,17:50:40 17-Jan-2016,Dive,1,Square,16.5,16.5,1139,1141,,
146298,146298,0.500000,Transmission,Mk10,,17:50:40 17-Jan-2016,17:50:50 17-Jan-2016,Surface,,,,,9,11,10,0
146298,146298,0.500000,Transmission,Mk10,,17:50:50 17-Jan-2016,18:04:10 17-Jan-2016,Dive,1,V,16.5,16.5,799,801,,
146298,146298,0.500000,Transmission,Mk10,,18:04:10 17-Jan-2016,18:04:40 17-Jan-2016,Surface,,,,,29,31,20,10
146298,146298,0.500000,Transmission,Mk10,,18:04:40 17-Jan-2016,18:11:50 17-Jan-2016,Dive,1,Square,8.0,8.0,429,431,,
146298,146298,0.500000,Transmission,Mk10,,18:11:50 17-Jan-2016,18:12:40 17-Jan-2016,Surface,,,,,49,51,50,0
146298,146298,0.500000,Transmission,Mk10,,18:12:40 17-Jan-2016,18:38:40 17-Jan-2016,Dive,1,U,18.5,18.5,1559,1561,,
146298,146298,0.500000,Transmission,Mk10,,18:38:40 17-Jan-2016,18:40:30 17-Jan-2016,Surface,,,,,109,111,71,39
146298,146298,0.500000,Transmission,Mk10,,18:40:30 17-Jan-2016,19:09:00 17-Jan-2016,Dive,1,Square,18.5,18.5,1709,1711,,
146298,146298,0.500000,Transmission,Mk10,,19:09:00 17-Jan-2016,22:10:00 17-Jan-2016,Message,10,,,,10850.000000,10870.000000,,
146298,146298,0.500000,Transmission,Mk10,,19:09:00 17-Jan-2016,19:10:40 17-Jan-2016,Surface,,,,,99,101,42,58
146298,146298,0.500000,Transmission,Mk10,,19:10:40 17-Jan-2016,19:42:50 17-Jan-2016,Dive,1,U,20.0,20.0,1929,1931,,
146298,146298,0.500000,Transmission,Mk10,,19:42:50 17-Jan-2016,19:43:20 17-Jan-2016,Surface,,,,,29,31,20,10
146298,146298,0.500000,Transmission,Mk10,,19:43:20 17-Jan-2016,20:09:30 17-Jan-2016,Dive,1,U,19.5,19.5,1569,1571,,
146298,146298,0.500000,Transmission,Mk10,,20:09:30 17-Jan-2016,20:10:00 17-Jan-2016,Surface,,,,,29,31,30,0
146298,146298,0.500000,Transmission,Mk10,,20:10:00 17-Jan-2016,20:35:10 17-Jan-2016,Dive,1,Square,22.0,22.0,1509,1511,,
146298,146298,0.500000,Transmission,Mk10,,20:35:10 17-Jan-2016,20:36:00 17-Jan-2016,Surface,,,,,49,51,50,0
146298,146298,0.500000,Transmission,Mk10,,20:36:00 17-Jan-2016,21:20:40 17-Jan-2016,Dive,1,Square,22.0,22.0,2679,2681,,
146298,146298,0.500000,Transmission,Mk10,,21:20:40 17-Jan-2016,21:21:10 17-Jan-2016,Surface,,,,,29,31,20,10
146298,146298,0.500000,Transmission,Mk10,,21:21:10 17-Jan-2016,22:10:00 17-Jan-2016,Dive,1,Square,21.5,21.5,2929,2931,,
146298,146298,0.500000,Transmission,Mk10,,22:10:00 17-Jan-2016,02:02:50 18-Jan-2016,Message,9,,,,13961.000000,13979.000000,,
